ticker,assetName,market,assetType,dividendYield,yieldStatus,yieldSource,rawSourceValue,sourceFile
365780,ACE 국고채10년,KR,ETF,3.23,manual,k_etf_rank_dividend_yield,3.23%,k-etf_rank_dividend_yield.csv
498860,RISE 코리아금융고배당,KR,ETF,3.23,manual,k_etf_rank_dividend_yield,3.23%,k-etf_rank_dividend_yield.csv
0046A0,TIGER 미국초단기(3개월이하)국채,KR,ETF,3.22,manual,k_etf_rank_dividend_yield,3.22%,k-etf_rank_dividend_yield.csv
472870,RISE 미국30년국채엔화노출(합성 H),KR,ETF,3.21,manual,k_etf_rank_dividend_yield,3.21%,k-etf_rank_dividend_yield.csv
437070,KODEX 아시아달러채권ESG플러스액티브,KR,ETF,3.2,manual,k_etf_rank_dividend_yield,3.20%,k-etf_rank_dividend_yield.csv
468370,KODEX iShares미국인플레이션국채액티브,KR,ETF,3.18,manual,k_etf_rank_dividend_yield,3.18%,k-etf_rank_dividend_yield.csv
336160,RISE 금융채액티브,KR,ETF,3.13,manual,k_etf_rank_dividend_yield,3.13%,k-etf_rank_dividend_yield.csv
476750,ACE 미국30년국채엔화노출액티브(H),KR,ETF,3.13,manual,k_etf_rank_dividend_yield,3.13%,k-etf_rank_dividend_yield.csv
182480,TIGER 미국MSCI리츠(합성 H),KR,ETF,3.13,manual,k_etf_rank_dividend_yield,3.13%,k-etf_rank_dividend_yield.csv
465620,ACE 미국빅테크TOP7 Plus인버스(합성),KR,ETF,3.07,manual,k_etf_rank_dividend_yield,3.07%,k-etf_rank_dividend_yield.csv
0000Y0,HK 26-12 회사채(AA-이상)액티브,KR,ETF,3.07,manual,k_etf_rank_dividend_yield,3.07%,k-etf_rank_dividend_yield.csv
0052D0,TIGER 코리아배당다우존스,KR,ETF,3.06,manual,k_etf_rank_dividend_yield,3.06%,k-etf_rank_dividend_yield.csv
117690,TIGER 차이나항셍30,KR,ETF,3.04,manual,k_etf_rank_dividend_yield,3.04%,k-etf_rank_dividend_yield.csv
454780,KIWOOM 종합채권(AA-이상)액티브,KR,ETF,3.02,manual,k_etf_rank_dividend_yield,3.02%,k-etf_rank_dividend_yield.csv
497880,SOL CD금리&머니마켓액티브,KR,ETF,3.0,manual,k_etf_rank_dividend_yield,3.00%,k-etf_rank_dividend_yield.csv
