market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
KR,192820,1.62,1.62,-75.81,0.68,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,081660,7.52,7.52,-77.27,0.64,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,085620,12.61,12.61,-66.59,0.6,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,000120,-8.57,-8.57,-69.45,0.55,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,097230,1.64,1.64,-91.32,0.84,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,140860,33.93,33.93,-58.91,0.9,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,041510,7.63,7.63,-70.23,0.77,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,077970,26.73,26.73,-81.76,0.74,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,089030,22.85,22.85,-62.1,1.27,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,060370,18.99,18.99,-68.86,1.03,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,017960,18.66,18.66,-54.47,0.79,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,027360,41.02,41.02,-77.93,1.11,7.51,^KS11,ready,yfinance_kr_close_price_20260528,
KR,023590,5.17,5.17,-56.3,0.98,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,002790,-17.97,-17.97,-89.09,0.78,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,183300,27.05,27.05,-66.34,1.24,9.17,^KS11,ready,yfinance_kr_close_price_20260528,
KR,298020,5.67,5.67,-79.86,0.96,7.87,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005070,34.49,34.49,-87.15,1.3,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,001120,1.06,1.06,-83.23,0.77,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,437730,86.3,86.3,-65.21,1.11,2.18,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,462870,-38.88,-38.88,-63.98,0.62,1.88,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,361610,-33.87,-33.87,-91.85,1.15,5.04,^KS11,ready,yfinance_kr_close_price_20260528,
KR,101490,24.05,24.05,-73.67,1.16,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,099320,22.28,22.28,-71.43,1.09,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,001740,6.42,6.42,-54.0,0.77,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006040,-5.55,-5.55,-65.99,0.48,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,096530,5.9,5.9,-87.78,0.59,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,189300,26.61,26.61,-66.21,1.09,9.6,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006280,-1.8,-1.8,-81.27,0.76,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,039200,17.78,17.78,-75.68,0.86,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,166090,27.87,27.87,-66.92,1.27,9.08,^KS11,ready,yfinance_kr_close_price_20260528,
KR,417200,-1.37,-1.37,-81.47,1.11,2.46,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,089970,30.78,30.78,-80.76,1.24,7.76,^KS11,ready,yfinance_kr_close_price_20260528,
KR,003570,17.02,17.02,-57.04,0.48,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,001800,-6.12,-6.12,-77.54,0.52,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,069620,3.03,3.03,-70.84,0.72,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,232140,24.96,24.96,-76.63,1.31,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,031330,24.94,24.94,-57.89,0.93,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,032350,8.79,8.79,-66.84,0.73,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,020560,-5.44,-5.44,-77.12,0.78,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,032500,23.18,23.18,-92.31,1.05,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,420770,18.14,18.14,-80.1,1.14,3.0,^KS11,ready,yfinance_kr_close_price_20260528,
KR,475150,86.34,86.34,-55.03,0.83,2.16,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,192080,7.71,7.71,-55.2,0.54,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006110,36.59,36.59,-88.44,0.99,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,294870,-13.51,-13.51,-85.59,0.8,7.96,^KS11,ready,yfinance_kr_close_price_20260528,
KR,007390,19.66,19.66,-92.06,0.75,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,073240,-5.39,-5.39,-76.12,0.75,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,038500,10.59,10.59,-70.8,0.96,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,195870,20.29,20.29,-76.62,1.17,9.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,007310,-8.85,-8.85,-61.74,0.38,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,281820,13.78,13.78,-63.64,1.29,8.47,^KS11,ready,yfinance_kr_close_price_20260528,
KR,004000,4.04,4.04,-68.88,0.81,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,090710,28.11,28.11,-87.63,1.17,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,093370,7.43,7.43,-85.63,1.17,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,012630,-1.1,-1.1,-84.17,0.64,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,127120,11.45,11.45,-91.35,0.65,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
